timestamp(s),s1,s2,s3,s4,s5,s6
8590,55.4,67.5,139.3,86.9,90,21.5
8600,54,68,138,87,90,22
8610,52.6,68.6,136.8,87.1,90,22.5
8620,51.2,69.2,135.6,87.2,90,23
8630,49.8,69.8,134.4,87.3,90,23.5
8640,48.4,70.4,133.2,87.4,90,24
8650,47,71,132,87.5,90,24.5
8660,45.6,71.6,130.8,87.6,90,25
8670,44.2,72.2,129.6,87.7,90,25.5
8680,42.8,72.8,128.4,87.8,90,26
8690,41.4,73.4,127.2,87.9,90,26.5
8700,40,74,126,88,90,27
8710,38.6,74.5,124.7,88,90,27.6
8720,37.2,75,123.4,88,90,28.2
8730,35.8,75.5,122.1,88,90,28.8
8740,34.4,76,120.8,88,90,29.4
8750,33,76.5,119.5,88,90,30
8760,31.6,77,118.2,88,90,30.6
8770,30.2,77.5,116.9,88,90,31.2
